"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",59.0860777881871,0.173317661277694,0.272798565942664,0.635332010191436,0.525211900744304,0.807558579723906
"ENSG00000000005",2.31755175449831,-0.0608081440300288,1.38490332948282,-0.0439078618236386,0.964977848517355,NA
"ENSG00000000419",287.894723880068,-0.0655046530169728,0.144971860893553,-0.451843913799728,0.651381431502932,0.874517219945508
"ENSG00000000457",165.839163270154,-0.0481946898204732,0.182841566650553,-0.263587162937533,0.79209805129715,0.936172080870672
"ENSG00000000460",20.671879689465,-0.00877854563533016,0.461972195590552,-0.0190023246401405,0.984839250950714,NA
"ENSG00000000938",20.9101623731592,0.427381373993407,0.515916356105141,0.828392759671121,0.40744810559658,NA
"ENSG00000000971",224.038786072981,-0.0298133443821997,0.163892740800294,-0.181907656413701,0.85565519580096,0.955462928567883
"ENSG00000001036",107.160469134282,0.209068965670858,0.209465547059716,0.998106698717644,0.318227622194223,0.664476376698577
"ENSG00000001084",181.673932844761,-0.321127580849955,0.186337336550211,-1.72336680772199,0.0848222133650665,0.344579409194492
"ENSG00000001167",159.046566288839,-0.081038736972784,0.181074149299177,-0.447544485430048,0.65448197579106,0.875764654284232
"ENSG00000001460",29.9864828794434,-0.158065103129592,0.371610233408362,-0.425351857724257,0.670580195363465,NA
"ENSG00000001461",226.84635792628,0.508893692358568,0.175964600390392,2.89202311845419,0.00382769780109398,0.0514881314741308
"ENSG00000001497",300.46880727224,-0.285870134952985,0.145229650437324,-1.96840062681522,0.049021959840479,0.252856558770509
"ENSG00000001561",280.560020408921,-0.0137134496615069,0.147061281640153,-0.093249899011914,0.925705033372031,0.981337781252809
"ENSG00000001617",157.753670099631,0.243293679650036,0.182448789941621,1.33349023431662,0.182370978151049,0.517760705928218
"ENSG00000001626",1.03489558982157,-0.434864828537683,2.29065001586561,-0.189843418036671,0.849431831851539,NA
"ENSG00000001629",280.974841026904,-0.135421260324891,0.147875963319948,-0.915776014468902,0.359784386252186,0.697723846511272
"ENSG00000001630",138.371351199434,-0.0940564530694244,0.192763266365159,-0.487937638965142,0.62559401313315,0.86273632138738
"ENSG00000001631",294.61360168664,-0.176522123782574,0.150181931748716,-1.17538855524865,0.239839300134999,0.589540764796569
"ENSG00000002016",182.29452268627,-0.0133911722263246,0.184942049685986,-0.0724073959873459,0.942277699099706,0.985601508665577
"ENSG00000002079",5.32384943958139,0.0534728692760094,0.843114928610435,0.0634229895135884,0.949429681116606,NA
"ENSG00000002330",255.668539071212,0.188620273606301,0.146724595573721,1.28553957070905,0.19860379811479,0.536939887662952
"ENSG00000002549",716.967188331402,0.252576325102384,0.104418330939471,2.41888874137241,0.0155680010312466,0.129707076514103
"ENSG00000002586",1352.45898900455,0.125504752112425,0.103548671568803,1.21203633239306,0.225498473188831,0.573085666882706
"ENSG00000002587",7.93301938417789,-0.372070746442098,0.704123997343972,-0.528416511645089,0.597210279759936,NA
"ENSG00000002746",43.409625645114,-0.050908048692652,0.330272714758476,-0.154139432105012,0.8774997974622,NA
"ENSG00000002822",268.230450586956,0.0523001976243088,0.168445646415676,0.310487084333701,0.756190579732713,0.922390201193735
"ENSG00000002834",551.172184930722,0.312082125831133,0.128517309097994,2.4283275772073,0.0151686357803882,0.127432052673663
"ENSG00000002919",110.521338636235,-0.0219510958024326,0.217840320336425,-0.100766909305551,0.91973549564674,0.979156861537707
"ENSG00000002933",24.3743167213193,0.102018210773845,0.45475013030884,0.224339046817996,0.822493495420335,NA
"ENSG00000003056",494.121650207667,-0.197362773054928,0.126584045216398,-1.55914414583237,0.11896226706763,0.415443545380491
"ENSG00000003096",60.8868809510541,-0.306987630554274,0.275048745550934,-1.1161208168369,0.264370422656869,0.612391587306475
"ENSG00000003137",40.9969094397033,-0.325621313508442,0.33613996110887,-0.96870753609381,0.332691131442653,NA
"ENSG00000003147",47.0984662949343,0.30978374640696,0.350342219251774,0.884231843563031,0.376571071847244,NA
"ENSG00000003249",568.777190132586,-0.00231558241024488,0.137637430703033,-0.0168237840420096,0.986577195659359,0.99557991816077
"ENSG00000003393",526.612553763268,-0.148388865248367,0.123730417695603,-1.1992917183342,0.230414534197659,0.577341515862152
"ENSG00000003400",114.199466961023,0.352619105658386,0.214919601937057,1.6407023951294,0.100859207509723,0.379451012616726
"ENSG00000003402",3439.9946990559,-0.121189697523549,0.112292296104994,-1.07923429947711,0.280483292968341,0.627961524708758
"ENSG00000003436",149.33494867905,0.164087327313629,0.181187304835552,0.905622650894646,0.365135615574442,0.702010149568983
"ENSG00000003509",256.18048250839,0.0512089438784558,0.149531153608404,0.342463377314424,0.732002200251639,0.911811686894195
"ENSG00000003756",1314.48897176178,-0.214337191016968,0.107368145443413,-1.99628288382731,0.0459031400418718,0.24452617583213
"ENSG00000003989",3534.27605812461,-0.374409445304173,0.0851551900264629,-4.39678949912296,1.09863797303104e-05,0.000836783796545032
"ENSG00000004059",863.235772962515,0.181266083916488,0.129449716087793,1.4002818190312,0.161428943016159,0.488070452051809
"ENSG00000004139",84.211868645078,0.00537393009500042,0.230820582170707,0.0232818496706938,0.981425449654861,0.994509888223838
"ENSG00000004142",4268.01913631156,0.0768458762336755,0.0801790215738619,0.95842871021922,0.33784662371681,0.680158697756301
"ENSG00000004399",802.462686726011,0.512852107652819,0.128821624720358,3.98110261973563,6.85963245555975e-05,0.00315570531485571
"ENSG00000004455",1233.82300249578,-0.00816210089289624,0.0971520245594945,-0.0840136984268186,0.933045540505092,0.983652721785102
"ENSG00000004468",656.557948374959,-0.221345949403464,0.126412599301661,-1.75098012877073,0.0799493329512987,0.33327193848238
"ENSG00000004478",1126.49431514594,-0.105327153758289,0.128465520717858,-0.819886559208474,0.412280779679647,0.735252170428845
"ENSG00000004487",731.036063634417,-0.138961771247888,0.105394695985352,-1.31848922707838,0.187339929004082,0.523341395063382
"ENSG00000004534",759.768358612882,-0.00566532605499775,0.12180871137761,-0.0465100237160799,0.962903744963363,0.991240402795591
"ENSG00000004660",65.2063079602427,0.144867590277624,0.307445116446808,0.471198215642135,0.637499192831349,0.868478787519606
"ENSG00000004700",166.432018272913,0.0830099422931095,0.174650272179346,0.475292372907771,0.634578594651932,0.867023852775834
"ENSG00000004766",212.02210327785,-0.0780813517192761,0.158410099552238,-0.492906398897425,0.622078725731983,0.861068199540545
"ENSG00000004776",47784.0155051205,0.17435775503662,0.107847345533968,1.61670882276563,0.105941148557718,0.390096411751065
"ENSG00000004777",122.435561816915,0.259142031456738,0.206853051309716,1.25278321888871,0.21028461039475,0.554062612634599
"ENSG00000004779",1725.71453475838,0.281090461593465,0.102189288969579,2.75068419036698,0.00594709471433704,0.0696512589710696
"ENSG00000004799",5243.43787380744,-0.193277944278171,0.639905059516871,-0.302041594145381,0.762620355243265,0.92461487514788
"ENSG00000004838",12.8959642653104,0.526633369834403,0.596196637948702,0.883321602829493,0.377062535064196,NA
"ENSG00000004846",15.4260605608919,-0.461241982217232,0.530511148811201,-0.869429385698696,0.384612315965947,NA
"ENSG00000004848",470.972525635192,0.0205141413660976,0.117824029548642,0.17410829900049,0.861780351157271,0.958016346003129
"ENSG00000004864",67.2091011405882,-0.182359527578656,0.27265289808671,-0.668833996844814,0.503601377456025,0.795456895851301
"ENSG00000004866",153.266034316601,-0.23725610107888,0.185561026750363,-1.27858799465506,0.201042179801766,0.540522090892185
"ENSG00000004897",517.261754601468,-0.168814183983172,0.121389994999692,-1.39067625782175,0.16432362032399,0.492896586159571
"ENSG00000004939",21.3132859160197,-0.26565587103661,0.440726652713604,-0.602767882089583,0.546663115919145,NA
"ENSG00000004948",10.4278680685095,1.22093360970146,0.748365197570193,1.63146764930492,0.102791680637056,NA
"ENSG00000004961",663.566120475572,0.233519954961953,0.110313899695785,2.11686791606439,0.0342710593103806,0.207885787515131
"ENSG00000004975",306.293951071922,-0.229727475837334,0.135300348182301,-1.69790749930521,0.0895252216384975,0.354281977790989
"ENSG00000005007",1248.33535125603,-0.0776845018688217,0.0924172108169978,-0.84058479131826,0.400580581805651,0.72978094289726
"ENSG00000005020",165.610258244274,-0.184954393977607,0.190146829009343,-0.972692497378008,0.330706155201816,0.673892893511001
"ENSG00000005022",282.114807240854,0.232887507323622,0.165914333868305,1.40366116593927,0.160419771672503,0.486675756793843
"ENSG00000005059",7.80296297074068,0.92989204404903,0.932062865901734,0.997670949104272,0.318438944691979,NA
"ENSG00000005073",97.9047441354783,-0.0862435148148131,0.222252495005431,-0.388042954535587,0.697984246184914,0.898129181371203
"ENSG00000005075",917.574197812961,0.103630253411264,0.104921471765663,0.987693478439925,0.32330278939269,0.668399313464916
"ENSG00000005100",196.942330112237,-0.0954504273484308,0.16846563473142,-0.566586933297136,0.570994854622092,0.833330207831509
"ENSG00000005102",152.59619711453,0.360119240160174,0.19344741800215,1.86158721516857,0.0626612967545283,0.288267029589532
"ENSG00000005108",6.61237279086833,1.52552438373322,0.814721141021245,1.87244973393104,0.0611444099281673,NA
