"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",61.1598620705612,-0.128773941770082,0.132915322794512,-0.96884195939672,0.332624047803315,0.862973446376162
"ENSG00000000005",5.50665072055402,-0.565134441444527,0.805318468461211,-0.701752739539646,0.48283337659252,0.915733274372037
"ENSG00000000419",275.472665041979,0.0554603850861018,0.0790517856052502,0.701570301815148,0.482947177794177,0.915733274372037
"ENSG00000000457",153.97768767606,-0.0123762948308585,0.0761812829628943,-0.162458472074914,0.870944828273074,0.986957571722706
"ENSG00000000460",22.450511219755,-0.265009878079012,0.159740560283549,-1.65900180648298,0.0971154282843643,0.669518522733427
"ENSG00000000938",25.2472510526945,-0.265530360237794,0.285231203935998,-0.930930264899683,0.351889637879222,0.868465762029302
"ENSG00000000971",260.428828019617,-0.0852148592406645,0.233103619488708,-0.365566435337108,0.714688624681168,0.962022540538759
"ENSG00000001036",89.7339265179749,0.143423842945179,0.117188921278633,1.22386861642125,0.221001794376866,0.804954919024376
"ENSG00000001084",175.608281851392,0.223947016111021,0.109902514809392,2.03768782269832,0.0415811627745758,0.551481510426284
"ENSG00000001167",159.599430189505,0.0956332039365951,0.118388745214502,0.807789657397942,0.419211680036083,0.896989651421815
"ENSG00000001460",36.0297861495219,-0.00204393017677953,0.147007878378694,-0.0139035417647096,0.988906936083821,0.998734000388844
"ENSG00000001461",200.238384458954,-0.0460079257721926,0.123001853261896,-0.374042541247184,0.708372666223476,0.961922226779523
"ENSG00000001497",327.716025757157,0.104339839325388,0.0699112128226761,1.49246215467664,0.135578031429133,0.72389635856853
"ENSG00000001561",305.505317069774,-0.208811465009902,0.116298088942903,-1.79548492075755,0.0725764731466573,0.628679888393379
"ENSG00000001617",179.698311275311,-0.205300362607376,0.13515687182985,-1.51897835328588,0.128767944792145,0.714895610594734
"ENSG00000001626",0.987271362084741,0.139366764761692,0.902535110042377,0.154417000747093,0.877280949769304,NA
"ENSG00000001629",288.701801966334,-0.0349666827862849,0.077771967110299,-0.449605225192438,0.65299511977859,0.949543925074324
"ENSG00000001630",139.304954738923,0.145337550814303,0.151441022929433,0.95969736603025,0.33720754931085,0.863912415973788
"ENSG00000001631",320.400871253638,-0.00773366188454867,0.0721956372926271,-0.107120903347694,0.914693064109164,0.990883235647801
"ENSG00000002016",191.621572109729,0.186406234903806,0.154276890781141,1.20825765906991,0.226948169397691,0.807399724127019
